date,BBQ,chicken,recipe,isPartial
2020-11-22,3,37,63,False
2020-11-29,3,34,56,False
2020-12-06,2,33,56,False
2020-12-13,2,33,62,False
2020-12-20,3,34,98,False
2020-12-27,3,40,71,False
2021-01-03,2,42,58,False
2021-01-10,3,46,66,False
2021-01-17,3,46,69,False
2021-01-24,3,47,73,False
2021-01-31,3,42,68,False
2021-02-07,3,45,73,False
2021-02-14,4,46,97,False
2021-02-21,6,42,59,False
2021-02-28,7,41,60,False
2021-03-07,6,42,63,False
2021-03-14,6,40,56,False
2021-03-21,10,41,61,False
2021-03-28,17,40,66,False
2021-04-04,11,40,58,False
2021-04-11,11,38,49,False
2021-04-18,16,35,44,False
2021-04-25,13,37,46,False
2021-05-02,9,38,52,False
2021-05-09,8,35,49,False
2021-05-16,7,35,43,False
2021-05-23,11,35,42,False
2021-05-30,24,35,42,False
2021-06-06,19,34,39,False
2021-06-13,15,33,40,False
2021-06-20,9,33,42,False
2021-06-27,8,33,42,False
2021-07-04,8,32,45,False
2021-07-11,12,33,40,False
2021-07-18,14,34,40,False
2021-07-25,8,33,42,False
2021-08-01,6,34,44,False
2021-08-08,7,34,44,False
2021-08-15,7,37,47,False
2021-08-22,8,34,47,False
2021-08-29,6,33,44,False
2021-09-05,6,32,41,False
2021-09-12,4,34,41,False
2021-09-19,4,37,44,False
2021-09-26,3,33,46,False
2021-10-03,3,35,47,False
2021-10-10,3,35,46,False
2021-10-17,3,35,48,False
2021-10-24,3,34,52,False
2021-10-31,3,35,49,False
2021-11-07,3,34,48,False
2021-11-14,3,34,46,False
2021-11-21,3,34,47,False
2021-11-28,3,31,45,False
2021-12-05,2,32,48,False
2021-12-12,2,30,50,False
2021-12-19,3,34,91,False
2021-12-26,3,34,56,False
2022-01-02,3,41,52,False
2022-01-09,3,41,53,False
2022-01-16,3,38,48,False
2022-01-23,3,42,50,False
2022-01-30,3,43,48,False
2022-02-06,3,42,48,False
2022-02-13,3,39,56,False
2022-02-20,3,38,47,False
2022-02-27,4,37,65,False
2022-03-06,4,38,45,False
2022-03-13,5,39,42,False
2022-03-20,9,36,43,False
2022-03-27,6,38,43,False
2022-04-03,6,38,45,False
2022-04-10,10,39,53,False
2022-04-17,10,37,44,False
2022-04-24,9,37,42,False
2022-05-01,9,37,42,False
2022-05-08,11,38,43,False
2022-05-15,9,36,41,False
