geoName,BBQ,chicken,recipe
Abbots Langley,0,0,0
Adderbury,0,0,0
Addlestone,0,0,0
Amesbury,0,0,0
Ampthill,0,0,0
Andover,0,0,0
Angmering,0,0,0
Ash,0,0,0
Attleborough,0,0,0
Aylesford,0,0,0
Aylesham,0,0,0
Bagshot,0,0,0
Banstead,0,0,0
Basildon,0,0,0
Bearsted,0,0,0
Bentley,0,0,0
Biggleswade,0,0,0
Billingshurst,0,0,0
Binfield,0,0,0
Bishop's Stortford,0,0,0
Bishops Cleeve,0,0,0
Boughton Monchelsea,0,0,0
Bradwell,0,0,0
Brampton,0,0,0
Brockenhurst,0,0,0
Brockworth,0,0,0
Brookwood,0,0,0
Broxbourne,0,0,0
Buckhurst Hill,0,0,0
Buntingford,0,0,0
Burnham-on-Crouch,0,0,0
Burton Latimer,0,0,0
Charing,0,0,0
Chatteris,0,0,0
Chedworth,0,0,0
Chessington,0,0,0
Chigwell,0,0,0
Chinnor,0,0,100
Chipstead,0,0,0
Chislehurst,0,0,0
Churchdown,0,0,0
Cirencester,0,0,0
Copford,0,0,0
Corringham,0,0,0
Crawley,0,0,0
Crookham Village,0,0,0
Crowborough,0,0,0
Crowthorne,0,0,0
Curdridge,0,0,0
Deanshanger,0,0,0
Debenham,0,0,0
Denmead,0,0,0
Didcot,0,0,0
Downham Market,0,0,0
Dunstable,0,0,0
Earl Shilton,0,0,0
East Malling,0,0,0
Elvington,0,0,0
Emersons Green,0,0,0
Esher,0,0,0
Eversley,0,0,0
Eynsham,0,0,0
Fareham,0,0,0
Farnham,0,0,0
Felixstowe,0,0,0
Fleet,0,0,0
Flitwick,0,0,0
Frampton Cotterell,0,0,0
Great Bardfield,0,0,0
Great Yeldham,0,0,0
Grove,0,0,0
Halstead,0,0,0
Hambledon,0,0,0
Hardwicke,0,0,0
Harlow,0,0,0
Hartley,0,0,0
Haslemere,0,0,0
Haverhill,0,0,0
Hedge End,0,0,0
Hemyock,0,0,0
Heybridge,0,0,0
Hockley,0,0,0
Hoddesdon,0,0,0
Hoo,0,0,0
Hook End,0,0,0
Horsham,0,0,0
Hugglescote,0,0,0
Ingrave,0,0,0
Innsworth,0,0,0
Kelvedon,0,0,0
Kessingland,0,0,0
Kings Hill,0,0,0
Kings Worthy,0,0,0
Kingsclere,0,0,0
Kintbury,0,0,0
Kirby Cross,0,0,0
Knaphill,0,0,0
Langford,0,0,0
Laverstock,0,0,0
Leighton Buzzard,0,0,0
Lidlington,0,0,0
Lindfield,0,0,0
Liphook,0,0,0
Littleport,0,0,0
Long Melford,0,0,0
Ludgershall,0,0,0
Lymington,0,0,0
Maidenhead,0,0,0
Malborough,0,0,0
Meppershall,0,0,0
Midsomer Norton,0,0,0
Mile End,0,0,0
Minster on Sea,0,0,0
Monkton Heathfield,0,0,0
Much Hadham,0,0,0
Nazeing,0,0,0
New Malden,0,0,0
New Romney,0,0,0
Newington,0,0,0
North Weald Bassett,0,0,0
Old Basing,0,0,0
Olney,0,0,0
Overton,0,0,0
Oxted,0,0,0
Paddock Wood,0,0,0
Padstow,0,0,0
Park Gate,0,0,0
Pateley Bridge,0,0,0
Peckleton,0,0,0
Penrith,0,0,0
Portchester,0,0,0
Purleigh,0,0,0
Quedgeley,0,0,0
Rackheath,0,0,0
Rayleigh,0,0,0
Ripon,0,0,0
Romsey,0,0,0
Runwell,0,0,0
Saffron Walden,0,0,0
Salcombe,0,0,0
Sandhurst,0,0,0
Sandy,0,0,0
Sawbridgeworth,0,0,0
Sawtry,0,0,0
Shepperton,0,0,0
Sherborne Saint John,0,0,0
Shipton-under-Wychwood,0,0,0
Sidcup,0,0,0
Slinfold,0,0,0
Smallfield,0,0,0
Snodland,0,0,0
Soham,0,0,0
Sompting,0,0,0
South Benfleet,0,0,0
South Cerney,0,0,0
South Woodham Ferrers,0,0,0
Southminster,0,0,0
Southwater,0,0,0
Southwell,0,0,0
Staines-upon-Thames,0,0,0
Stanton,0,0,0
Stewartby,0,0,0
Stock,0,0,0
Stowmarket,0,0,0
Studham,0,0,0
Sutton at Hone,0,0,0
Tadley,0,0,0
Taverham,0,0,0
Thatcham,0,0,0
Theale,0,0,0
Thornbury,0,0,0
Thrapston,0,0,0
Titchfield,0,0,0
Tollerton,0,0,0
Towcester,0,0,0
Trimley Saint Martin,0,0,0
Uffculme,0,0,0
Upper Caldecote,0,0,0
Upton,0,0,0
Upton upon Severn,0,0,0
Verwood,0,0,0
Waltham Abbey,0,0,0
Walton-on-Thames,0,0,0
Watton,0,0,0
Welling,0,0,0
Wendover,0,0,0
West Bergholt,0,0,0
West Wittering,0,0,0
Westerham,0,0,0
Westfield,0,0,0
Weybridge,0,0,0
Whitehill,0,0,0
Whiteley,0,0,0
Whittlesey,0,0,0
Wick,0,0,0
Windlesham,0,0,0
Witney,0,0,0
Wooburn Green,0,0,0
Woodford,0,0,0
Yateley,0,0,0
